park,attraction,wait,dpa
TDL,ペニーアーケード,2.0,
TDL,オムニバス,2.0,
TDL,カリブの海賊,2.0,
TDL,ジャングルクルーズ：ワイルドライフ・エクスペディション,2.0,
TDL,ウエスタンリバー鉄道,2.0,
TDL,スイスファミリー・ツリーハウス,2.0,
TDL,魅惑のチキルーム：スティッチ・プレゼンツ “アロハ・エ・コモ・マイ!”,2.0,
TDL,ウエスタンランド・シューティングギャラリー,2.0,
TDL,カントリーベア・シアター,2.0,
TDL,蒸気船マークトウェイン号,2.0,
TDL,ビッグサンダー・マウンテン,4.0,3.0
TDL,トムソーヤ島いかだ,2.0,
TDL,スプラッシュ・マウンテン,4.0,3.0
TDL,ビーバーブラザーズのカヌー探険,2.0,
TDL,ピーターパン空の旅,2.0,
TDL,白雪姫と七人のこびと,2.0,
TDL,シンデレラのフェアリーテイル・ホール,2.0,
TDL,ミッキーのフィルハーマジック,2.0,
TDL,ピノキオの冒険旅行,2.0,
TDL,空飛ぶダンボ,1.0,
TDL,キャッスルカルーセル,1.0,
TDL,ホーンテッドマンション,3.0,
TDL,イッツ・ア・スモールワールド,1.0,
TDL,アリスのティーパーティー,2.0,
TDL,プーさんのハニーハント,4.0,
TDL,美女と野獣“魔法のものがたり”,5.0,5.0
TDL,ロジャーラビットのカートゥーンスピン,2.0,
TDL,ミニーの家,2.0,
TDL,チップとデールのツリーハウス,2.0,
TDL,ガジェットのゴーコースター,2.0,
TDL,ドナルドのボート,2.0,
TDL,グーフィーのペイント＆プレイハウス,2.0,
TDL,トゥーンパーク,2.0,
TDL,スティッチ・エンカウンター,2.0,
TDL,モンスターズ・インク“ライド&ゴーシーク!”,2.0,
TDL,スター・ツアーズ：ザ・アドベンチャーズ・コンティニュー,2.0,
TDL,ベイマックスのハッピーライド,5.0,4.0
TDS,ソアリン：ファンタスティック・フライト,5.0,4.0
TDS,ディズニーシー・トランジットスチーマーライン,2.0,
TDS,ヴェネツィアン・ゴンドラ,2.0,
TDS,フォートレス・エクスプロレーション,2.0,
TDS,タワー・オブ・テラー,3.0,2.0
TDS,トイ・ストーリー・マニア！,5.0,5.0
TDS,ビッグシティ・ヴィークル,1.0,
TDS,ディズニーシー・エレクトリックレールウェイ,1.0,
TDS,タートル・トーク,2.0,
TDS,アクアトピア,1.0,
TDS,ニモ＆フレンズ・シーライダー,3.0,
TDS,インディ・ジョーンズ・アドベンチャー：クリスタルスカルの魔宮,2.0,
TDS,レイジングスピリッツ,2.0,
TDS,ジャスミンのフライングカーペット,2.0,
TDS,シンドバッド・ストーリーブック・ヴォヤッジ,2.0,
TDS,マジックランプシアター,1.0,
TDS,キャラバンカルーセル,2.0,
TDS,フランダーのフライングフィッシュコースター,2.0,
TDS,スカットルのスクーター,2.0,
TDS,ジャンピン・ジェリーフィッシュ,2.0,
TDS,ブローフィッシュ・バルーンレース,2.0,
TDS,ワールプール,1.0,
TDS,アリエルのプレイグラウンド,2.0,
TDS,マーメイドラグーンシアター,2.0,
TDS,センター・オブ・ジ・アース,4.0,3.0
TDS,海底2万マイル,2.0,
TDS,アナとエルサのフローズンジャーニー,2.0,
TDS,ラプンツェルのランタンフェスティバル,2.0,
TDS,ピーターパンのネバーランドアドベンチャー,2.0,
TDS,フェアリー・ティンカーベルのビジーバギー,2.0,
TDL,アナとエルサのフローズンジャーニー,5.0,5.0
TDL,モンスターズ・インク“ライド＆ゴーシーク！”,4.0,3.0
TDL,スペース・マウンテン,3.0,
TDL,ジャングルクルーズ,2.0,
TDL,マークトウェイン号,1.0,
TDS,インディ・ジョーンズ・アドベンチャー,4.0,3.0
TDS,フライングフィッシュコースター,1.0,
